id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
1063e8e3-6ad8-4e2f-9c94-0928b222dc97,f1fc9d75f94c444baf3265c0272064baff8da2d58e693628afab0f4d48ebd881,2026-06-27 13:51:43.898723+00,20260627115014_init,,,2026-06-27 13:51:43.778212+00,1
20fa50d9-9669-47ba-9d1d-ac5d06a9eeaa,525ffc50fe5c894f4c7b369c0a41ee1e7f1ace942768c29decd049ff700d816e,2026-06-30 21:19:24.247798+00,20260630211920_add_search_templates_source_sites,,,2026-06-30 21:19:22.189273+00,1
34fbccdc-c770-41bf-804d-c71ff36169e3,68f3d28c2608fc627477f031855e1e46b52192e2d7f86f72f686ea8a28f7b7ed,2026-06-30 21:38:27.889132+00,20260630213823_add_source_site_intelligence,,,2026-06-30 21:38:25.226607+00,1
82a1aab3-52a0-408e-bc66-4ef1f902eb67,cbf63b5ee5bce139593dee06b030e00846c1db5171781708fc5e495b24633620,2026-06-30 21:58:06.352842+00,20260630215803_add_schedules_and_providers,,,2026-06-30 21:58:04.950061+00,1
209e57ad-1de4-448f-a901-bbe57ee2233b,f5ba21f78063c5f1e49c6a1bdee5cbd0d692920a8490662e83fc1be32ea6be4b,,20260630221108_add_event_contacts,,2026-06-30 22:13:34.101828+00,2026-06-30 22:11:09.446973+00,0
af1cdd61-2261-4450-b3f9-1686dc340e26,f5ba21f78063c5f1e49c6a1bdee5cbd0d692920a8490662e83fc1be32ea6be4b,2026-06-30 22:13:34.920235+00,20260630221108_add_event_contacts,"",,2026-06-30 22:13:34.920235+00,0
1fac61ca-a1d1-477c-9d91-94cc768057d9,9fc3f5bacd141e0194fcdd402e40d497e3bce344b473735556e722cd9e1687cc,2026-07-01 19:51:32.834145+00,20260701195114_add_source_site_config,,,2026-07-01 19:51:31.033573+00,1
451a31e5-ceb3-416b-a90d-34b51951c504,55317006ef18553a7bd046e2963c340027588ad4871f9d47d7338b8cefa9904d,2026-07-02 04:42:59.966353+00,20260702044241_add_fallback_fields,,,2026-07-02 04:42:58.518001+00,1
e6a6fabb-7488-427e-b7c9-dd4c2328a7a9,98e1a682c4e0a569ea34e35d3e4589e1a631a379e3bfa83ed7372f808fa1f867,2026-07-02 06:15:10.781797+00,20260702061046_add_ica_scrape_mode,,,2026-07-02 06:15:09.03894+00,1
3f0b3be7-fb57-43dc-a323-35a04b06f5f0,2f0689188b0dfa2aa78273dac4b52c0d79b5c4e2a067a3b7048bb30d2b14b6ec,2026-07-02 09:16:03.347082+00,20260702085513_add_ingest_config_and_is_city,"",,2026-07-02 09:16:03.347082+00,0
ee635e54-3f4b-4f8c-af5f-f0500fb2d842,0cad916f90125f005e618f64a5290a040eede174e191175c49e0dbd751db0807,2026-07-06 14:09:53.816236+00,20260706170000_add_location_type_template_scope_source_mode,,,2026-07-06 14:09:47.4079+00,1
