id,startedAt,finishedAt,trigger,status,recordsFound,recordsNew,errorMessage,providersUsed
cmr9e5t07000156br51fbg7u7,2026-07-06 15:45:14.263,2026-07-06 15:47:11.471,manual,success,40,8,,
cmr9emquk000356br9etpane0,2026-07-06 15:58:24.62,2026-07-06 16:00:47.64,manual,success,40,8,,
cmr9fjzln00013ibrt8cd8xgh,2026-07-06 16:24:15.612,2026-07-06 16:26:34.887,manual,success,0,0,,
cmr9fuazk00043ibr9mz9fduo,2026-07-06 16:32:16.928,,manual,running,0,0,,
cmr9hrmb200063ibr8gdsyzjy,2026-07-06 17:26:10.863,2026-07-06 17:28:53.176,manual,success,65,10,,"{""jina"": {""scrape"": 65, ""search"": 0}, ""tavily"": {""scrape"": 0, ""search"": 42}, ""firecrawl"": {""scrape"": 18, ""search"": 0}, ""duckduckgo"": {""scrape"": 0, ""search"": 51}}"
cmr9k9o3g000l3ibr8omd8q90,2026-07-06 18:36:12.222,2026-07-06 18:38:01.005,manual,success,10,1,,
cmr9jisjg000j3ibrr2ttto45,2026-07-06 18:15:18.268,2026-07-06 19:10:15.925,manual,success,200,200,,
cmra8xwkp0000bgbr0j6wvz3z,2026-07-07 06:06:53.175,,manual,running,0,0,,
cmral2xgo000004la7e21qq5l,2026-07-07 11:46:43.56,2026-07-07 11:48:49.325,manual,success,70,0,,"{""jina"": {""scrape"": 70, ""search"": 0}, ""tavily"": {""scrape"": 0, ""search"": 42}, ""firecrawl"": {""scrape"": 18, ""search"": 0}, ""duckduckgo"": {""scrape"": 0, ""search"": 72}}"
cmrfzdmy0000121br68cnd9cq,2026-07-11 06:25:48.649,2026-07-11 06:31:13.674,manual,success,0,0,,
cmrg18ilh000321br8ucvuvsz,2026-07-11 07:17:48.965,2026-07-11 07:24:12.59,manual,failed,0,0,"
Invalid `__TURBOPACK__imported__module__$5b$project$5d2f$lib$2f$prisma$2e$ts__$5b$app$2d$route$5d$__$28$ecmascript$29$__[""prisma""].event.findFirst()` invocation in
/home/tijwa/projects/work/meeting_da/.next/dev/server/chunks/[root-of-the-server]__0w6golq._.js:1686:153

  1683 // ─── Dedupe check ──────────────────────────────────────────────────────────
  1684 async function isDuplicate(eventName, locationId, eventDateStart) {
  1685     // Check exact match (same name, same location, same date)
→ 1686     const exact = await __TURBOPACK__imported__module__$5b$project$5d2f$lib$2f$prisma$2e$ts__$5b$app$2d$route$5d$__$28$ecmascript$29$__[""prisma""].event.findFirst(
Server has closed the connection.",
cmrg21pn7002021branibxqdx,2026-07-11 07:40:31.123,2026-07-11 07:47:04.987,manual,success,0,0,,
616ebb15-35d9-4be5-a6c8-57f72856494f,2026-07-11 15:01:54.215,,manual,running,0,0,,
3260463a-deaa-4b30-9349-a44800989ba7,2026-07-11 16:06:11.214,,manual,running,0,0,,
cmrgsudjm000fvubrj2nxfpkx,2026-07-11 20:10:38.482,2026-07-11 20:10:39.468,manual,success,0,0,,"{""groq"": {""tokens"": 23579, ""requests"": 18, ""remainingTokens"": 76421, ""dailyLimitTokens"": 100000, ""remainingRequests"": 982, ""dailyLimitRequests"": 1000}, ""jina"": {""tokens"": 0, ""requests"": 63, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 137, ""dailyLimitRequests"": 200}, ""brave"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 66, ""dailyLimitRequests"": 66}, ""tavily"": {""tokens"": 0, ""requests"": 42, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 33}, ""webpeel"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 125, ""dailyLimitRequests"": 125}, ""_devMode"": false, ""firecrawl"": {""tokens"": 0, ""requests"": 13, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 3, ""dailyLimitRequests"": 16}, ""duckduckgo"": {""tokens"": 0, ""requests"": 258, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": -1, ""dailyLimitRequests"": -1}, ""openrouter"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": 500000, ""dailyLimitTokens"": 500000, ""remainingRequests"": 200, ""dailyLimitRequests"": 200}}"
4ea4eced-28f2-42f8-ae0d-9515bcdb51ff,2026-07-11 20:11:07.142,2026-07-11 20:11:09.774,manual,success,0,0,,"{""groq"": {""tokens"": 28915, ""requests"": 21, ""remainingTokens"": 71085, ""dailyLimitTokens"": 100000, ""remainingRequests"": 979, ""dailyLimitRequests"": 1000}, ""jina"": {""tokens"": 0, ""requests"": 134, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 66, ""dailyLimitRequests"": 200}, ""brave"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 66, ""dailyLimitRequests"": 66}, ""tavily"": {""tokens"": 0, ""requests"": 42, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 33}, ""webpeel"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 125, ""dailyLimitRequests"": 125}, ""_devMode"": false, ""firecrawl"": {""tokens"": 0, ""requests"": 17, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 16}, ""duckduckgo"": {""tokens"": 0, ""requests"": 258, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": -1, ""dailyLimitRequests"": -1}, ""openrouter"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": 500000, ""dailyLimitTokens"": 500000, ""remainingRequests"": 200, ""dailyLimitRequests"": 200}}"
