id,name,address,city,state,sourceUrl,active,createdAt,updatedAt,shortName,type,parentId,lastIngestedAt,venueType
cmr9cp53e0000f2bra1ucm91b,Chester,,Chester,PA,,t,2026-07-06 15:04:17.163,2026-07-06 15:04:17.163,,CITY,,,
cmr9cp5ou0001f2brioso7j1o,Subaru Park,"1 Stadium Drive Chester, PA 19013",Chester,PA,,t,2026-07-06 15:04:17.934,2026-07-06 15:04:17.934,Subaru Park,VENUE,cmr9cp53e0000f2bra1ucm91b,,
cmr9cp6b50002f2br6e8e1ipg,Philadelphia,,Philadelphia,PA,,t,2026-07-06 15:04:18.737,2026-07-06 15:04:18.737,,CITY,,,
cmr9cp6nw0003f2br6x9nekqb,Philadelphia Convention Center,"1101 Arch Street, Philadelphia, PA 19107",Philadelphia,PA,,t,2026-07-06 15:04:19.196,2026-07-06 15:04:19.196,Philadelphia Convention Center,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cp71e0004f2brro5nvfsf,Philadelphia Marriott Downtown,"1201 Market Street, Philadelphia, PA 19107",Philadelphia,PA,,t,2026-07-06 15:04:19.682,2026-07-06 15:04:19.682,Marriott,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cp7ds0005f2brcl6fsao2,Loews Philadelphia Hotel,"1200 Market Street, Philadelphia, PA 19107",Philadelphia,PA,,t,2026-07-06 15:04:20.128,2026-07-06 15:04:20.128,Lowes Hotel,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cp7tl0006f2br7q9oyfig,Element Philadelphia Downtown,"1441 Chestnut Street, Philadelphia, PA 19102",Philadelphia,PA,,t,2026-07-06 15:04:20.697,2026-07-06 15:04:20.697,Element Philadelphia,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cp8fx0007f2brnq3smvy0,Hyatt Centric Center City Philadelphia,"1620 Chancellor Street, Philadelphia, PA 19103",Philadelphia,PA,,t,2026-07-06 15:04:21.501,2026-07-06 15:04:21.501,Hyatt CC,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cp8so0008f2breggklp1p,Sheraton Philadelphia Downtown Hotel,"201 North 17th Street, Philadelphia, PA 19103",Philadelphia,PA,,t,2026-07-06 15:04:21.96,2026-07-06 15:04:21.96,Sheraton Philadelphia Downtown,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cp9b60009f2br3gsp7mvt,W Philadelphia,"1439 Chestnut St, Philadelphia, PA 19102",Philadelphia,PA,,t,2026-07-06 15:04:22.626,2026-07-06 15:04:22.626,W Philadelphia,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cp9qt000af2brh7nn3gc4,The Bellevue Hotel Philadelphia,"200 South Broad Street, Philadelphia, PA 19102",Philadelphia,PA,,t,2026-07-06 15:04:23.189,2026-07-06 15:04:23.189,The Bellevue,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cpa3e000bf2brnvkqdv4j,Cira Centre Philadelphia,"2929 Arch Street, Philadelphia, PA 19104",Philadelphia,PA,,t,2026-07-06 15:04:23.642,2026-07-06 15:04:23.642,Circa Center,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cpafw000cf2brpgkky9rd,The Logan Philadelphia Hotel,"One Logan Square, Philadelphia, PA 19103",Philadelphia,PA,,t,2026-07-06 15:04:24.092,2026-07-06 15:04:24.092,The Logan,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cpas9000df2brca7x9kq2,Four Seasons Hotel Philadelphia at Comcast Center,"1 N. 19th Street, Philadelphia, PA 19103",Philadelphia,PA,,t,2026-07-06 15:04:24.537,2026-07-06 15:04:24.537,Four Seasons,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cpb4m000ef2brr8zomakh,Sofitel Philadelphia at Rittenhouse Square,"120 South 17th Street, Philadelphia, PA 19103",Philadelphia,PA,,t,2026-07-06 15:04:24.982,2026-07-06 15:04:24.982,Sofitel,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cpbrc000ff2br9hzfq6n6,The Ritz-Carlton Philadelphia,"10 Avenue of the Arts, Philadelphia, PA 19102",Philadelphia,PA,,t,2026-07-06 15:04:25.8,2026-07-06 15:04:25.8,The Ritz-Carlton,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cpc3h000gf2brg5ckrkqd,The Union League of Philadelphia,"140 South Broad Street, Philadelphia, PA 19102",Philadelphia,PA,,t,2026-07-06 15:04:26.237,2026-07-06 15:04:26.237,Union League,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
cmr9cpcpi000hf2brgoij0gz3,Sonesta Hotel Philadelphia,"1800 Market Street, Philadelphia, PA 19103",Philadelphia,PA,,t,2026-07-06 15:04:27.03,2026-07-06 15:04:27.03,Sonesta,VENUE,cmr9cp6b50002f2br6e8e1ipg,,
