"Organization Name","Event Name","Total Estimated Attendance","Peak Rooms","Event Start Date","Event End Date"
"Major League Baseball","2026 All Star Game","100,000","8,698","07/11/2026","07/14/2026"
"Simons Foundation","2026 International Congress of Mathematicians","5,000","3,500","07/21/2026","07/31/2026"
"Academy of Management","2026 AOM Annual Meeting","10,000","4,430","07/31/2026","08/04/2026"
"National Recreation and Park Association","2026 NRPA Annual Conference","8,500","3,900","09/28/2026","10/01/2026"
"LeadingAge","2026 LeadingAge Annual Meeting","8,000","6,000","10/25/2026","10/28/2026"
"National Council of Teachers of English","2026 NCTE Annual Convention","7,000","2,200","11/19/2026","11/22/2026"
"Philadelphia Marathon","2026 AACR Philadelphia Marathon","35,000","2,300","11/19/2026","11/22/2026"
"American Physical Therapy Association","2027 APTA Combined Sections Meeting","17,500","5,000","02/02/2027","02/06/2027"
"Biophysical Society","2027 Biophysical Society Annual Meeting","6,000","2,349","02/20/2027","02/24/2027"
"American Society of Civil Engineers","2027 ASCE Convention","6,500","2,535","02/28/2027","03/05/2027"
"EM2 Sports | Austin Sports Center","2027 Northeast Qualifier 17s and 18s","11,000","2,200","03/17/2027","03/21/2027"
"National Collegiate Athletic Association","2027 NCAA Women's Basketball Regionals (Div I)","42,400","2,650","03/26/2027","03/29/2027"
"EM2 Sports | Austin Sports Center","2027 Northeast Qualifier","35,000","4,500","03/26/2027","04/04/2027"
"Association of periOperative Registered Nurses","2027 Global Surgical Conference and Exposition","7,500","4,250","04/10/2027","04/13/2027"
"EM2 Sports | Austin Sports Center","2027 Northeast Qualifier Weekend 3","17,500","5,400","04/23/2027","04/26/2027"
"American Society of Gene and Cell Therapy","2027 ASGCT Annual Meeting","7,000","2,000","05/04/2027","05/07/2027"
"American Institute of Architects","2027 AIA Annual Convention","16,000","5,500","05/14/2027","05/25/2027"
"National Collegiate Athletic Association","2027 NCAA Men's Lacrosse Championship","66,867","4,179","05/29/2027","05/31/2027"
"Biotechnology Innovation Organization","2027 BIO International Convention","16,000","7,500","06/06/2027","06/10/2027"
"International City/County Management Association","2027 ICMAHO ICMA Annual Conference","11,000","3,200","09/22/2027","10/01/2027"
"International Association of Chiefs of Police","2027 IACP Annual Conference","9,000","8,200","10/05/2027","10/14/2027"
"Urban Land Institute","2027 ULI Fall Meeting","6,500","2,000","10/16/2027","10/21/2027"
"American Society for Reproductive Medicine","2027 ASRM Annual Meeting","6,500","3,200","10/23/2027","10/27/2027"
"American Public Health Association","2027 APHA Annual Meeting","14,000","4,740","11/06/2027","11/10/2027"
"Confidential","Condfidential","8,500","4,500","11/12/2027","11/15/2027"
"Philadelphia Marathon","2027 AACR Philadelphia Marathon","35,000","2,300","11/18/2027","11/21/2027"
"The American Society for Cell Biology","2027 ASCB Annual Meeting","9,000","3,500","12/05/2027","12/08/2027"
"Army Navy","2027 Army Navy Game","69,600","13,631","12/10/2027","12/11/2027"
"American Mathematical Society","2028 AMS Joint Mathematics Meetings","6,000","2,200","01/04/2028","01/07/2028"


